,词语,数量
1463,小孩子,43
1464,能够,43
1465,四十,43
1466,抢,43
1467,后头,43
1468,操心,43
1469,问起,43
1470,倪,43
1471,夹,43
1472,幻,42
1473,仁,42
1474,穷,42
1475,心上,42
1476,夫妻,42
1477,进入,42
1478,欢喜,42
1479,饭后,42
1480,除,42
1481,变,42
1482,帘子,42
1483,傻,42
1484,何曾,42
1485,没趣,42
1486,睡觉,42
1487,拉住,42
1488,一下,42
1489,桌上,42
1490,大好,42
1491,带领,42
1492,懂,42
1493,嫁,42
1494,警,41
1495,从来,41
1496,矣,41
1497,丧,41
1498,愈,41
1499,十五,41
1500,而已,41
1501,二两,41
1502,小事,41
1503,十来,41
1504,院,41
1505,拍手,41
1506,账,41
1507,一行,41
1508,搭,41
1509,在内,41
1510,多心,41
1511,瞒,41
1512,带来,41
1513,还好,41
1514,呈,41
1515,好不好,41
1516,夜,41
1517,近来,41
1518,掩,41
1519,不得了,41
1520,凑,41
1521,祭,41
1522,即刻,41
1523,通,40
1524,补,40
1525,何处,40
1526,进京,40
1527,抬头,40
1528,没什么,40
1529,霜,40
1530,针线,40
1531,响,40
1532,承,40
1533,大门,40
1534,止,40
1535,林,40
1536,一步,40
1537,大舅,40
1538,一边,40
1539,不安,40
1540,些小,40
1541,纵,40
1542,魂,40
1543,心事,40
1544,外人,40
1545,孙子,40
1546,不自在,40
1547,拦,40
1548,好看,40
1549,蘅,40
1550,桐,40
1551,人人,39
1552,大笑,39
1553,令人,39
1554,窗外,39
1555,吟,39
1556,性,39
1557,聪明,39
1558,管事,39
1559,大约,39
1560,个个,39
1561,疑惑,39
1562,一心,39
1563,边,39
1564,照管,39
1565,掌,39
1566,板儿,39
1567,后门,39
1568,俗语说,39
1569,不为,39
1570,不等,39
1571,孝敬,39
1572,着眼,39
1573,了得,39
1574,撵,39
1575,一层,39
1576,必要,39
1577,太医,39
1578,加,39
1579,乏,39
1580,照看,39
1581,厨房,39
1582,万,38
1583,远远,38
1584,新鲜,38
1585,转身,38
1586,儒,38
1587,已有,38
1588,小心,38
1589,晚间,38
1590,淘气,38
1591,黄,38
1592,四五,38
1593,一路,38
1594,已是,38
1595,路,38
1596,不下,38
1597,或有,38
1598,眼看,38
1599,山,38
1600,理会,38
1601,怎样,38
1602,不解,38
1603,作主,38
1604,眼色,38
1605,趁,38
1606,惹,38
1607,安慰,38
1608,睡去,38
1609,自从,38
1610,里人,38
1611,不受,38
1612,阿弥陀,38
